"DATE","PROVINCE","REGION","NR_REPORTING","TOTAL_IN","TOTAL_IN_ICU","TOTAL_IN_RESP","TOTAL_IN_ECMO","NEW_IN","NEW_OUT"
03-22,"Antwerpen","Flanders",14,258,42,32,1,46,6
03-22,"Brussels","Brussels",16,283,58,42,2,41,13
03-22,"Hainaut","Wallonia",14,268,59,46,2,37,5
03-22,"Limburg","Flanders",7,166,30,24,0,29,10
03-22,"Liège","Wallonia",13,171,29,23,1,35,11
03-22,"Luxembourg","Wallonia",3,44,11,7,0,8,2
03-22,"Namur","Wallonia",6,27,7,3,2,4,0
03-22,"OostVlaanderen","Flanders",14,153,37,24,0,20,2
03-22,"VlaamsBrabant","Flanders",5,91,17,12,0,20,5
03-22,"BrabantWallon","Wallonia",2,29,5,5,0,6,0
03-22,"WestVlaanderen","Flanders",11,156,27,21,0,27,7
03-23,"Antwerpen","Flanders",14,308,56,42,1,46,7
03-23,"Brussels","Brussels",16,298,67,48,3,21,9
03-23,"Hainaut","Wallonia",14,308,65,48,1,44,8
03-23,"Limburg","Flanders",7,181,38,27,0,24,10
03-23,"Liège","Wallonia",13,194,31,26,1,23,11
03-23,"Luxembourg","Wallonia",3,47,18,10,0,4,0
03-23,"Namur","Wallonia",6,34,7,6,0,9,3
03-23,"OostVlaanderen","Flanders",14,166,41,32,0,22,4
03-23,"VlaamsBrabant","Flanders",6,136,25,16,0,32,5
03-23,"BrabantWallon","Wallonia",2,31,6,6,0,3,0
03-23,"WestVlaanderen","Flanders",11,180,31,25,0,29,3
03-24,"Antwerpen","Flanders",13,373,70,54,1,84,18
03-24,"Brussels","Brussels",15,319,77,49,4,52,17
03-24,"Hainaut","Wallonia",14,336,77,58,1,38,11
03-24,"Limburg","Flanders",7,235,44,32,0,61,16
03-24,"Liège","Wallonia",12,196,38,27,1,28,14
03-24,"Luxembourg","Wallonia",3,52,18,10,0,8,1
03-24,"Namur","Wallonia",6,42,10,8,0,11,0
03-24,"OostVlaanderen","Flanders",13,186,57,29,1,51,12
03-24,"VlaamsBrabant","Flanders",6,148,37,19,0,23,14
03-24,"BrabantWallon","Wallonia",2,37,9,9,0,8,3
03-24,"WestVlaanderen","Flanders",10,216,37,27,0,48,9
03-25,"Antwerpen","Flanders",14,495,98,72,1,99,10
03-25,"Brussels","Brussels",15,415,98,67,4,69,25
03-25,"Hainaut","Wallonia",14,377,83,62,2,46,19
03-25,"Limburg","Flanders",7,290,59,45,0,64,23
03-25,"Liège","Wallonia",12,252,58,40,1,53,14
03-25,"Luxembourg","Wallonia",3,63,20,11,0,10,2
03-25,"Namur","Wallonia",6,56,13,10,0,18,5
03-25,"OostVlaanderen","Flanders",14,263,76,47,1,53,10
03-25,"VlaamsBrabant","Flanders",6,172,42,23,1,31,5
03-25,"BrabantWallon","Wallonia",2,40,10,10,0,9,3
03-25,"WestVlaanderen","Flanders",11,298,55,35,0,83,12
03-26,"Antwerpen","Flanders",13,522,96,79,1,74,25
03-26,"Brussels","Brussels",16,482,114,83,3,76,30
03-26,"Hainaut","Wallonia",14,416,95,69,2,50,19
03-26,"Limburg","Flanders",7,323,71,54,0,54,19
03-26,"Liège","Wallonia",12,286,68,50,2,60,23
03-26,"Luxembourg","Wallonia",3,72,20,11,0,17,7
03-26,"Namur","Wallonia",6,70,18,12,1,13,3
03-26,"OostVlaanderen","Flanders",14,326,85,56,1,43,20
03-26,"VlaamsBrabant","Flanders",6,187,43,30,1,38,9
03-26,"BrabantWallon","Wallonia",2,41,14,12,0,7,5
03-26,"WestVlaanderen","Flanders",11,352,66,42,0,58,23
03-27,"Antwerpen","Flanders",14,627,122,100,2,76,39
03-27,"Brussels","Brussels",16,581,118,92,4,93,37
03-27,"Hainaut","Wallonia",14,457,102,74,2,55,22
03-27,"Limburg","Flanders",7,396,78,55,0,91,19
03-27,"Liège","Wallonia",12,347,88,68,2,75,25
03-27,"Luxembourg","Wallonia",3,84,18,11,0,16,1
03-27,"Namur","Wallonia",6,79,22,20,2,11,0
03-27,"OostVlaanderen","Flanders",14,393,99,64,2,53,28
03-27,"VlaamsBrabant","Flanders",6,217,51,36,2,23,11
03-27,"BrabantWallon","Wallonia",2,56,14,13,0,12,1
03-27,"WestVlaanderen","Flanders",11,413,77,46,0,70,22
03-28,"Antwerpen","Flanders",14,725,140,109,1,118,45
03-28,"Brussels","Brussels",16,630,136,108,5,90,52
03-28,"Hainaut","Wallonia",14,548,115,99,4,84,28
03-28,"Limburg","Flanders",7,418,89,58,0,48,18
03-28,"Liège","Wallonia",12,375,95,75,3,52,40
03-28,"Luxembourg","Wallonia",3,90,17,13,0,15,5
03-28,"Namur","Wallonia",6,85,20,19,2,16,4
03-28,"OostVlaanderen","Flanders",14,456,103,70,2,77,39
03-28,"VlaamsBrabant","Flanders",6,247,50,41,3,47,22
03-28,"BrabantWallon","Wallonia",2,56,13,11,0,8,6
03-28,"WestVlaanderen","Flanders",11,459,89,53,0,74,37
